Title,Title
1,2
2,3
3,3
4,3
5,2
6,7
7,1
8,14
9,6
10,17
11,10
12,16
13,17
14,12
15,6
16,13
17,10
18,3
19,10
20,13
21,14
22,6
23,22
24,13
25,9
26,11
27,11
28,15
29,5
30,8
31,8
32,7
33,9
34,5
35,5
36,2
37,8
38,6
39,2
40,2
41,0
42,2
43,4
44,6
45,4
46,0
47,9
48,1
49,3
50,2
51,1
52,1
53,3
54,3
55,1
56,1
57,2
58,3
59,0
60,4
61,1
62,4
63,4
64,3
65,0
66,3
67,0
68,2
69,5
70,0
71,3
72,4
73,1
74,13
75,6
76,5
77,28
78,7
79,21
80,19
81,26
82,23
83,14
84,9
85,19
86,13
87,22
88,24
89,22
90,34
91,12
92,4
93,13
94,25
95,19
96,26
97,24
98,14
99,10
100,36
101,21
102,45
103,30
104,26
105,33
106,25
107,47
108,42
109,50
110,60
111,55
112,32
113,30
114,22
