Title,Title
1,15
2,0
3,1
4,1
5,5
6,5
7,7
8,10
9,12
10,14
11,19
12,12
13,60
14,7
15,23
16,50
17,68
18,61
19,97
20,110
21,144
22,161
23,174
24,216
25,261
26,307
27,389
28,404
29,539
30,877
31,855
32,651
33,755
34,1100
35,1162
36,1274
37,1333
38,1379
39,1227
40,1406
41,1159
42,1179
43,1503
44,1148
45,1175
46,1055
47,902
48,1011
49,1424
50,1349
51,1035
52,1256
53,1431
54,715
55,2318
56,1982
57,1729
58,1961
59,1834
60,1222
61,1101
62,1517
63,1362
64,2334
65,1566
66,1848
67,1435
68,1319
69,1261
70,2515
71,1939
72,1694
73,2135
74,2208
75,1227
76,1463
77,1636
78,2068
79,1729
80,2068
81,1918
82,1433
83,1577
84,2038
85,2144
86,2363
87,2313
88,2014
89,1928
90,2274
91,2908
92,1949
93,2197
94,2972
95,3057
96,3014
97,2529
98,2438
99,2326
100,2510
101,3593
102,2637
103,2850
104,2290
105,2958
106,2894
107,3570
108,3576
109,3149
110,2519
111,2709
112,3469
113,4250
114,3754
115,3708
116,4011
117,3953
118,5813
119,6419
120,4850
121,5524
122,5614
123,4426
124,5502
125,7040
126,8158
127,7611
128,8434
129,8100
130,8878
131,6411
132,6282
133,9897
