Title,Title
1,2
2,6
3,0
4,0
5,4
6,5
7,17
8,15
9,29
10,25
11,33
12,25
13,22
14,33
15,62
16,86
17,111
18,116
19,130
20,191
21,174
22,346
23,303
24,326
25,254
26,313
27,362
28,356
29,382
30,454
31,392
32,376
33,222
34,257
35,226
36,547
37,308
38,383
39,410
40,388
41,250
42,339
43,395
44,372
45,386
46,297
47,376
48,341
49,431
50,384
51,993
52,712
53,473
54,364
55,435
56,441
57,527
58,454
59,457
60,409
61,272
62,457
63,464
64,544
65,455
66,548
67,328
68,198
69,310
70,339
71,371
72,394
73,397
74,305
75,265
76,280
77,315
78,392
79,295
80,476
81,208
82,116
83,297
84,222
85,341
86,486
87,482
88,280
89,199
90,211
91,272
92,300
93,255
94,233
95,153
96,182
97,164
98,151
99,148
100,175
101,195
102,113
103,169
104,143
105,231
106,228
107,286
108,162
109,190
110,165
111,188
112,262
113,324
114,317
115,226
116,284
117,205
118,203
119,314
120,323
121,272
122,293
123,200
124,216
125,401
