Title,Title
1,1
2,1
3,0
4,1
5,3
6,5
7,9
8,6
9,15
10,27
11,28
12,63
13,35
14,29
15,104
16,88
17,203
18,257
19,137
20,279
21,233
22,469
23,578
24,557
25,429
26,267
27,1091
28,361
29,399
30,1231
31,875
32,1000
33,1003
34,754
35,972
36,525
37,1346
38,608
39,766
40,1129
41,925
42,741
43,412
44,1853
45,545
46,2109
47,631
48,821
49,661
50,687
51,728
52,315
53,455
54,933
55,1064
56,523
57,0
58,686
59,648
60,374
61,789
62,627
63,573
64,570
65,211
66,568
67,522
68,609
69,621
70,618
71,716
72,697
73,314
74,587
75,191
76,432
77,382
78,446
79,405
80,430
81,0
82,271
83,203
84,260
85,179
86,539
87,239
88,112
89,148
90,221
91,358
92,150
93,124
94,87
95,168
96,114
97,228
98,305
99,94
100,147
101,114
102,80
103,11
104,117
105,158
106,40
107,27
108,117
109,14
110,81
111,65
112,147
113,97
114,59
115,152
116,58
117,74
118,71
119,0
120,0
121,259
122,57
