Title,Title
1,3
2,0
3,6
4,0
5,0
6,6
7,1
8,5
9,9
10,5
11,3
12,32
13,6
14,21
15,18
16,21
17,46
18,48
19,36
20,37
21,38
22,59
23,94
24,91
25,67
26,104
27,145
28,96
29,99
30,114
31,229
32,83
33,137
34,118
35,97
36,80
37,103
38,139
39,153
40,126
41,190
42,127
43,134
44,171
45,108
46,155
47,167
48,171
49,142
50,51
51,102
52,112
53,217
54,335
55,139
56,219
57,154
58,152
59,139
60,193
61,245
62,203
63,170
64,117
65,96
66,99
67,152
68,135
69,171
70,81
71,147
72,164
73,117
74,237
75,105
76,73
77,144
78,115
79,109
80,72
81,86
82,46
83,179
84,84
85,56
86,29
87,130
88,104
89,79
90,70
91,63
92,57
93,85
94,63
95,52
96,65
97,55
98,58
99,32
100,19
101,29
102,56
103,49
104,32
105,36
106,38
107,36
108,34
109,31
110,26
111,31
112,32
113,44
114,35
115,38
116,25
117,45
118,12
119,35
120,33
121,54
