Title,Title
1,1
2,4
3,4
4,6
5,5
6,9
7,0
8,10
9,24
10,32
11,21
12,24
13,51
14,89
15,200
16,70
17,68
18,180
19,295
20,290
21,256
22,557
23,249
24,236
25,349
26,1084
27,631
28,697
29,523
30,416
31,359
32,816
33,1598
34,1048
35,681
36,974
37,402
38,-158
39,1022
40,788
41,670
42,1061
43,1014
44,356
45,605
46,828
47,742
48,910
49,806
50,670
51,650
52,234
53,770
54,378
55,693
56,1131
57,1005
58,832
59,350
60,732
61,526
62,848
63,800
64,565
65,392
66,786
67,181
68,863
69,555
70,556
71,820
72,413
73,299
74,680
75,580
76,948
77,807
78,765
79,674
80,581
81,425
82,652
83,647
84,650
85,525
86,448
87,715
88,706
89,306
90,648
91,817
92,752
93,663
94,428
95,624
96,774
97,696
98,867
99,869
100,977
101,696
102,631
103,797
104,915
105,823
106,1077
107,1552
108,824
109,1212
110,1872
111,1713
112,1506
113,1746
114,1524
115,1734
116,2016
117,2464
118,2309
119,2886
120,2604
121,2513
122,1897
123,1526
124,2692
