Title,Title
1,1
2,4
3,3
4,0
5,4
6,1
7,7
8,2
9,8
10,17
11,11
12,11
13,7
14,19
15,60
16,82
17,138
18,161
19,92
20,89
21,129
22,275
23,410
24,429
25,410
26,341
27,343
28,523
29,814
30,550
31,821
32,793
33,551
34,1033
35,818
36,929
37,1475
38,919
39,917
40,568
41,711
42,816
43,803
44,822
45,1203
46,796
47,514
48,594
49,914
50,820
51,937
52,944
53,844
54,715
55,754
56,905
57,971
58,1233
59,1270
60,1091
61,866
62,835
63,1152
64,1155
65,1241
66,1261
67,906
68,1188
69,951
70,1360
71,1474
72,1347
73,1818
74,879
75,962
76,960
77,1292
78,1289
79,1072
80,928
81,1082
82,599
83,440
84,1083
85,1532
86,1715
87,1253
88,1323
89,1578
90,1107
91,1885
92,1580
93,1784
94,1994
95,1753
96,871
97,1378
98,1945
99,2500
100,2001
101,2259
102,2089
103,1422
104,2185
105,4246
106,3493
107,3211
108,4645
109,4272
110,3292
111,4760
112,5080
113,6584
114,5473
115,5799
116,6057
117,3798
118,6319
119,7947
120,8123
121,7434
122,7158
123,6289
124,4431
125,9181
126,9845
