Days,Alabama,Alaska,Arizona,Arkansas,Belgium,California,Colorado,Connecticut,DC,Delaware,Florida,France,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Sweden,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Albania,Austria,Belarus,Denmark,Germany,Italy,Finland,Greece,Ireland,Kosovo,Netherlands,Poland,Portugal,Romania,Russia,Serbia,Spain,Switzerland,Ukraine,United Kingdom,Canada,China,India,Japan,South Africa,Brazil,Mexico,Australia,Synthetic 1,Synthetic 2,Synthetic 3,Synthetic 4,Synthetic 5,Synthetic 6,Synthetic 7,Synthetic 8,Synthetic 9,Synthetic 10,Synthetic 11,Synthetic 12,Chile
1,6,2,1,1,16,15,2,1,3,1,2,2,1,2,1,1,1,3,4,3,1,1,2,1,2,1,5,1,4,2,3,1,1,4,2,5,4,3,1,4,2,15,2,5,1,2,1,1,3,1,2,1,1,1,2,2,6,1,2,14,5,3,1,2,1,4,2,1,15,4,1,7,1,3,1,4,2,4,4,1,4,2,441,439,478,473,0.1,5,48,482,1,17,107,,1
2,6,3,2,5,17,0,6,1,0,3,0,3,4,3,4,4,2,5,1,1,5,1,1,5,0,2,0,2,2,0,4,1,1,2,9,0,2,0,1,7,2,0,0,3,5,1,4,2,3,1,3,1,1,1,4,0,9,1,4,62,7,22,4,3,1,1,2,2,5,13,6,4,2,2,2,17,1,1,0,5,5,1,436,435,437,448,0.2,4,56,430,1,10,70,,2
3,11,3,0,1,36,1,0,0,6,0,1,21,4,3,0,8,2,5,2,2,7,1,3,5,10,4,4,1,0,1,8,0,2,4,11,1,12,1,4,0,2,0,4,0,5,3,3,0,4,3,7,3,3,0,4,3,0,1,26,53,0,13,7,8,5,5,1,1,15,6,8,6,0,5,2,136,22,8,6,5,10,3,416,460,447,435,0.4,3,42,442,1,6,85,,1
4,6,3,1,2,55,1,0,1,0,0,0,19,6,4,0,6,5,1,1,0,1,9,4,15,13,5,2,0,2,6,2,6,0,3,22,8,8,1,2,1,4,1,1,1,1,1,0,14,2,3,6,3,2,7,1,2,10,1,10,97,11,21,5,3,6,6,4,6,14,17,18,6,2,13,4,19,1,14,4,0,15,4,436,493,428,453,0.5,6,40,422,0,9,62,,1
5,10,2,0,7,81,5,4,3,0,3,1,43,5,2,4,7,1,2,2,4,22,5,0,13,8,7,9,4,0,1,5,4,2,4,45,2,1,8,8,6,2,2,2,0,1,10,4,8,5,2,9,4,11,5,12,3,11,3,54,93,10,7,1,3,5,5,4,2,4,5,19,6,9,4,4,151,2,7,7,12,12,8,413,499,442,453,0.7,7,55,435,1,4,64,,5
6,12,7,3,6,111,5,5,5,6,1,3,30,9,10,2,14,0,1,6,0,41,15,5,51,20,14,13,7,4,3,19,9,5,4,17,7,2,13,11,10,4,10,1,0,1,8,1,11,3,7,15,4,8,2,10,4,0,2,18,78,0,11,2,1,10,9,8,2,30,9,28,7,5,11,3,140,3,0,0,0,29,11,525,514,539,508,0.5,7,48,543,1,6,67,,3
7,27,1,0,0,27,7,17,9,1,8,5,48,0,11,12,20,3,1,5,7,26,11,9,3,1,19,16,5,7,2,10,13,4,2,36,7,2,11,15,0,6,11,2,1,9,6,7,11,7,13,28,0,6,1,5,4,19,10,28,250,19,6,14,1,10,18,9,8,21,2,54,20,7,34,3,97,10,7,27,9,11,7,543,594,553,558,0.4,6,60,592,1,4,58,,4
8,28,14,0,11,64,10,15,6,5,10,1,34,10,11,8,28,4,4,13,3,34,9,5,13,11,6,30,14,0,2,27,5,8,5,31,2,5,13,5,6,19,0,1,1,11,7,2,14,20,12,11,23,14,4,4,6,0,3,39,238,96,9,8,3,44,19,9,20,33,15,56,30,0,30,3,259,6,18,11,18,25,4,580,650,604,594,0.6,6,50,656,1,15,52,,6
9,25,6,3,29,94,12,29,15,9,4,1,73,24,8,11,10,5,0,14,1,59,5,7,15,15,17,60,38,10,2,17,11,6,7,44,8,8,17,4,3,6,22,6,0,26,13,8,15,3,3,24,12,25,2,9,5,5,8,66,240,28,34,27,7,46,36,2,19,52,22,75,122,15,48,12,441,23,9,23,25,46,11,598,742,725,643,0.3,7,69,683,1,8,45,,10
10,26,17,1,38,99,14,25,27,5,9,9,138,32,21,5,55,6,7,8,4,84,13,18,15,254,12,67,20,5,3,66,10,21,8,109,24,13,23,14,7,21,17,9,3,76,21,17,32,23,6,31,25,34,2,4,12,0,7,138,561,27,57,21,2,60,21,18,25,54,32,81,55,6,43,6,665,2,12,31,21,39,6,701,809,743,730,0.53,9,59,765,0,5,54,,10
