Title,Title
1,1
2,2
3,0
4,1
5,0
6,3
7,0
8,0
9,3
10,1
11,5
12,2
13,8
14,19
15,23
16,34
17,49
18,81
19,92
20,76
21,106
22,157
23,108
24,157
25,239
26,129
27,115
28,187
29,169
30,250
31,250
32,197
33,111
34,149
35,292
36,94
37,281
38,146
39,163
40,104
41,156
42,272
43,273
44,212
45,210
46,135
47,187
48,208
49,310
50,276
51,235
52,246
53,190
54,232
55,254
56,446
57,314
58,402
59,276
60,279
61,386
62,402
63,238
64,581
65,434
66,159
67,261
68,356
69,440
70,498
71,495
72,462
73,306
74,233
75,396
76,331
77,418
78,293
79,432
80,299
81,222
82,222
83,479
84,501
85,702
86,790
87,681
88,187
89,1127
90,995
91,573
92,1551
93,1148
94,1407
95,837
96,635
97,1585
98,1544
99,1642
100,1606
101,1180
102,1052
103,2293
104,1861
105,2572
106,3183
107,3284
108,2468
109,2101
110,3630
111,1810
112,3090
113,3379
114,3476
115,3809
116,641
117,4797
118,4753
119,3343
120,4399
121,2722
122,3510
123,3416
124,3617
