Title,Title
1,1
2,5
3,1
4,2
5,7
6,6
7,0
8,11
9,29
10,38
11,18
12,47
13,36
14,30
15,76
16,43
17,35
18,24
19,40
20,59
21,56
22,60
23,59
24,55
25,5
26,110
27,74
28,70
29,80
30,69
31,56
32,26
33,52
34,195
35,23
36,101
37,21
38,75
39,82
40,4
41,190
42,291
43,130
44,207
45,211
46,99
47,92
48,68
49,58
50,80
51,74
52,29
53,62
54,59
55,38
56,56
57,86
58,83
59,53
60,0
61,265
62,31
63,121
64,72
65,130
66,97
67,115
68,181
69,54
70,110
71,80
72,455
73,154
74,163
75,147
76,107
77,151
78,97
79,261
80,239
81,236
82,240
83,190
84,375
85,249
86,358
87,226
88,450
89,325
90,314
91,340
92,288
93,448
94,731
95,548
96,406
97,416
98,274
99,415
100,322
101,703
102,511
103,419
104,522
105,595
106,697
107,687
108,678
109,570
110,508
111,439
112,520
113,420
114,878
115,547
116,587
117,605
118,439
119,259
