Title,Title
1,1
2,3
3,0
4,0
5,3
6,1
7,8
8,10
9,4
10,9
11,6
12,11
13,31
14,17
15,15
16,24
17,22
18,49
19,18
20,32
21,55
22,49
23,25
24,57
25,143
26,80
27,110
28,145
29,188
30,93
31,117
32,153
33,146
34,136
35,165
36,88
37,61
38,248
39,215
40,0
41,207
42,186
43,269
44,108
45,134
46,134
47,458
48,128
49,413
50,80
51,79
52,184
53,120
54,170
55,80
56,83
57,407
58,161
59,144
60,194
61,170
62,118
63,176
64,211
65,271
66,150
67,174
68,123
69,199
70,168
71,157
72,192
73,143
74,161
75,119
76,156
77,101
78,30
79,75
80,65
81,186
82,76
83,107
84,80
85,27
86,34
87,27
88,72
89,97
90,30
91,48
92,36
93,50
94,67
95,56
96,35
97,76
98,63
99,41
100,55
101,112
102,70
103,94
104,45
105,27
106,42
107,91
108,37
109,74
110,135
111,150
112,98
113,36
114,221
115,192
116,73
117,132
118,165
119,121
