Title,Title
1,2
2,0
3,1
4,0
5,1
6,3
7,5
8,1
9,1
10,9
11,3
12,20
13,24
14,0
15,39
16,32
17,69
18,116
19,108
20,130
21,200
22,236
23,222
24,245
25,504
26,507
27,720
28,840
29,905
30,752
31,1047
32,1027
33,1231
34,1260
35,1277
36,805
37,1279
38,1118
39,951
40,1129
41,1141
42,1018
43,877
44,1156
45,609
46,906
47,806
48,1413
49,739
50,822
51,744
52,811
53,440
54,1339
55,885
56,306
57,689
58,610
59,708
60,347
61,498
62,1037
63,735
64,615
65,819
66,542
67,563
68,826
69,371
70,802
71,595
72,386
73,941
74,479
75,808
76,928
77,673
78,777
79,854
80,502
81,527
82,1204
83,776
84,676
85,740
86,879
87,509
88,379
89,651
90,1212
91,927
92,739
93,667
94,617
95,1317
96,1419
97,1305
98,1270
99,1180
100,966
101,1096
102,1371
103,1698
104,1902
105,2581
106,2016
107,1758
108,2783
109,2610
110,3207
111,3822
112,4049
113,3494
114,2926
115,3286
116,5511
117,5004
118,8942
119,9585
120,8530
121,5266
122,6093
123,6563
124,10109
125,9488
126,11458
127,10059
128,6336
129,7347
