Title,Title
1,2
2,3
3,21
4,19
5,43
6,30
7,48
8,34
9,73
10,138
11,190
12,103
13,410
14,286
15,372
16,497
17,595
18,785
19,838
20,924
21,1210
22,1097
23,1404
24,1861
25,1617
26,1847
27,1559
28,3838
29,2446
30,2931
31,3922
32,3809
33,4611
34,2599
35,4376
36,7578
37,4861
38,2116
39,5233
40,4267
41,1873
42,3912
43,3777
44,3881
45,4286
46,4342
47,3114
48,1613
49,2673
50,5497
51,2633
52,2641
53,405
54,2569
55,785
56,2051
57,2667
58,1827
59,1653
60,1773
61,1537
62,461
63,1195
64,1065
65,1607
66,1139
67,604
68,794
69,308
70,576
71,1104
72,4183
73,629
74,642
75,433
76,209
77,456
78,708
79,507
80,622
81,563
82,372
83,120
84,492
85,524
86,418
87,318
88,403
89,240
90,115
91,358
92,276
93,191
94,3325
95,597
96,1828
97,257
98,338
99,-766
100,352
101,767
102,611
103,579
104,343
105,211
106,403
107,545
108,425
109,726
110,526
111,407
112,152
113,344
114,458
115,467
116,811
117,641
118,284
119,373
120,517
121,81
122,0
123,1588
124,0
125,0
126,1324
127,541
128,918
129,659
130,582
131,0
132,0
133,1375
