Title,Title
9,2
10,3
11,3
12,4
13,2
14,10
15,11
16,11
17,8
18,21
19,13
20,5
21,11
22,14
23,31
24,24
25,29
26,20
27,34
28,25
29,34
30,32
31,20
32,16
33,23
34,25
35,7
36,23
37,21
38,13
39,5
40,9
41,13
42,11
43,12
44,21
45,6
46,4
47,2
48,6
49,4
50,5
51,2
52,2
53,1
54,2
55,3
56,4
57,1
58,1
59,0
60,1
61,3
62,1
63,3
64,0
65,1
66,1
67,2
68,1
69,3
70,0
71,1
72,1
73,1
74,0
75,1
76,2
77,4
78,0
79,1
80,0
81,0
82,0
83,1
84,3
85,2
86,2
87,1
88,0
89,1
90,0
91,1
92,9
93,8
94,2
95,1
96,6
97,3
98,7
99,14
100,17
101,5
102,8
103,4
104,4
105,18
106,27
107,14
108,11
109,2
110,3
111,14
112,15
113,14
114,6
115,27
116,1
117,17
118,8
119,20
120,28
121,24
122,24
123,7
124,41
