Title,Title
1,1
2,4
3,0
4,0
5,4
6,2
7,12
8,8
9,11
10,5
11,3
12,23
13,50
14,66
15,43
16,30
17,48
18,105
19,111
20,143
21,222
22,121
23,64
24,24
25,70
26,40
27,22
28,134
29,59
30,13
31,19
32,42
33,39
34,49
35,22
36,46
37,13
38,4
39,64
40,30
41,36
42,34
43,34
44,17
45,10
46,20
47,35
48,32
49,32
50,19
51,26
52,-2
53,47
54,21
55,31
56,20
57,27
58,25
59,2
60,29
61,33
62,31
63,27
64,37
65,30
66,2
67,34
68,21
69,30
70,28
71,61
72,31
73,24
74,14
75,35
76,32
77,39
78,34
79,36
80,15
81,53
82,27
83,55
84,64
85,57
86,28
87,14
88,44
89,29
90,36
91,41
92,51
93,45
94,14
95,59
96,71
97,91
98,110
99,127
100,135
101,19
102,242
103,145
104,238
105,219
106,280
107,170
108,224
109,227
110,354
111,255
112,309
113,346
114,397
115,368
116,423
117,360
