Title,Title
1,1
2,4
3,8
4,6
5,7
6,14
7,20
8,28
9,10
10,55
11,127
12,134
13,163
14,168
15,296
16,238
17,250
18,339
19,664
20,491
21,518
22,1068
23,455
24,922
25,986
26,717
27,1209
28,1453
29,919
30,986
31,1287
32,1529
33,1344
34,1465
35,1293
36,1672
37,1173
38,1222
39,1346
40,1141
41,1841
42,1585
43,1197
44,1151
45,1551
46,2049
47,1827
48,2723
49,2119
50,2126
51,1980
52,2219
53,2253
54,2563
55,3137
56,2450
57,2994
58,2341
59,2049
60,2275
61,2638
62,2886
63,2320
64,1654
65,1461
66,4045
67,1706
68,3207
69,2447
70,2141
71,1691
72,2418
73,1520
74,2415
75,2282
76,2715
77,2390
78,2441
79,1707
80,1238
81,1126
82,1516
83,1666
84,1496
85,1298
86,1078
87,1578
88,1035
89,870
90,1168
91,934
92,819
93,1473
94,778
95,568
96,842
97,758
98,628
99,602
100,528
101,619
102,550
103,665
104,836
105,618
106,619
107,461
108,667
109,743
110,910
111,877
112,724
113,581
114,768
115,776
116,880
117,866
118,886
119,858
120,579
121,698
122,682
