Title,Title
1,2
2,9
3,11
4,22
5,45
6,17
7,36
8,31
9,44
10,109
11,95
12,189
13,122
14,218
15,425
16,1012
17,1774
18,2952
19,3258
20,4817
21,5711
22,4805
23,7413
24,5941
25,5688
26,8771
27,6266
28,7721
29,8707
30,8153
31,8996
32,10329
33,12274
34,8122
35,9304
36,8314
37,9568
38,10765
39,10794
40,10160
41,8435
42,6548
43,7402
44,11755
45,8631
46,7532
47,7249
48,6199
49,4867
50,4324
51,5659
52,6341
53,8286
54,10683
55,6013
56,4077
57,3285
58,4718
59,4702
60,3879
61,4559
62,3699
63,2524
64,2302
65,2746
66,3526
67,2873
68,2715
69,2138
70,1610
71,1438
72,2123
73,2364
74,2759
75,2185
76,1901
77,1241
78,1479
79,1478
80,2078
81,1678
82,1754
83,1601
84,1279
85,1044
86,1132
87,1758
88,1549
89,1363
90,1104
91,945
92,1361
93,1043
94,1053
95,1042
96,1083
97,777
98,712
99,690
100,664
101,724
102,821
103,912
104,694
105,623
106,630
107,561
108,626
109,794
110,707
111,665
112,555
113,598
114,575
115,738
116,804
117,697
118,624
119,391
120,458
121,628
122,872
123,919
124,725
125,536
126,516
127,590
