Title,Title
1,1
2,5
3,5
4,1
5,1
6,1
7,9
8,11
9,26
10,76
11,24
12,42
13,45
14,78
15,136
16,158
17,155
18,149
19,108
20,89
21,46
22,134
23,122
24,200
25,123
26,160
27,110
28,256
29,238
30,296
31,240
32,401
33,253
34,328
35,407
36,512
37,519
38,612
39,365
40,387
41,376
42,487
43,726
44,722
45,544
46,466
47,332
48,465
49,497
50,482
51,613
52,676
53,606
54,563
55,392
56,545
57,682
58,751
59,812
60,610
61,463
62,286
63,695
64,681
65,790
66,428
67,562
68,235
69,404
70,495
71,702
72,705
73,642
74,656
75,401
76,348
77,602
78,637
79,673
80,625
81,470
82,466
83,234
84,422
85,724
86,649
87,637
88,379
89,271
90,384
91,597
92,648
93,639
94,749
95,637
96,429
97,272
98,775
99,2214
100,1080
101,1056
102,948
103,843
104,403
105,791
106,890
107,1474
108,1396
109,1247
110,683
111,769
112,940
113,1239
114,1481
115,0
116,0
117,0
118,2889
119,1905
120,1487
121,1566
122,1247
123,0
124,0
125,2530
126,784
127,1241
128,947
129,780
130,0
131,0
132,1642
